Leeftijd,Gewicht,Brandstof,Aantal zitplaatsen,Aantal wielen,Aantal deuren,Voertuigsoort
29,400,Geen,0,2,0,Aanhangwagen
24,870,Geen,0,2,0,Aanhangwagen
1,13870,Elektriciteit,33,6,5,Bus
3,13310,Diesel,48,6,2,Bus
10,3390,Diesel,19,4,2,Bus
10,950,Benzine,5,4,4,Personenauto
10,536,Geen,0,4,0,Aanhangwagen
3,830,Benzine,4,4,4,Personenauto
17,211,Benzine,2,2,0,Motorfiets
8,1216,Benzine,5,4,4,Personenauto
1,231,Benzine,2,2,0,Motorfiets
2,13609,Diesel,51,6,4,Bus
0,1063,Benzine,5,4,5,Personenauto
6,1295,Benzine,5,4,4,Personenauto
0,1711,Elektriciteit,5,4,5,Personenauto
9,560,Geen,0,4,0,Aanhangwagen
11,12745,Diesel,55,4,5,Bus
17,1130,Geen,0,2,0,Aanhangwagen
13,204,Benzine,2,2,0,Motorfiets
12,149,Benzine,2,2,0,Motorfiets
0,218,Benzine,2,2,0,Motorfiets
48,8810,Diesel,45,4,2,Bus
5,198,Benzine,2,2,0,Motorfiets
31,620,Geen,0,2,0,Aanhangwagen
15,276,Benzine,2,2,0,Motorfiets
14,1223,Benzine,5,4,4,Personenauto
28,244,Benzine,2,2,0,Motorfiets
12,202,Benzine,2,2,0,Motorfiets
34,390,Geen,0,2,0,Aanhangwagen
18,1015,Geen,0,2,0,Aanhangwagen
14,15770,Diesel,59,6,4,Bus
16,1740,Benzine,5,4,4,Personenauto
3,285,Benzine,2,2,0,Motorfiets
12,12240,Diesel,43,4,2,Bus
4,13943,Diesel,58,4,4,Bus
12,1380,Benzine,5,4,4,Personenauto
14,1000,Benzine,5,4,4,Personenauto
15,197,Benzine,2,2,0,Motorfiets
33,624,Geen,0,2,0,Aanhangwagen
2,261,Benzine,2,2,0,Motorfiets
26,265,Benzine,2,2,0,Motorfiets
5,228,Benzine,2,2,0,Motorfiets
2,10295,Elektriciteit,29,6,3,Bus
14,1240,Benzine,5,4,4,Personenauto
63,8194,Diesel,47,4,3,Bus
9,840,Benzine,4,4,2,Personenauto
17,4880,Geen,0,2,0,Aanhangwagen
21,710,Geen,0,2,0,Aanhangwagen
18,1210,Benzine,5,4,4,Personenauto
13,480,Geen,0,2,0,Aanhangwagen
2,12455,Elektriciteit,39,6,4,Bus
34,436,Geen,0,2,0,Aanhangwagen
6,225,Benzine,2,2,0,Motorfiets
26,610,Geen,0,2,0,Aanhangwagen
9,8945,Diesel,41,4,3,Bus
14,900,Geen,0,6,0,Aanhangwagen
15,180,Benzine,2,2,0,Motorfiets
5,13907,Diesel,57,6,2,Bus
9,125,Benzine,2,2,0,Motorfiets
8,9000,Diesel,33,4,2,Bus
0,15470,Diesel,63,8,2,Bus
8,1900,Benzine,5,4,4,Personenauto
16,859,Benzine,4,4,4,Personenauto
3,2190,Elektriciteit,5,4,5,Personenauto
7,1370,Benzine,5,4,5,Personenauto
3,16187,Diesel,61,8,2,Bus
17,225,Benzine,2,2,0,Motorfiets
11,8820,Diesel,43,4,2,Bus
16,200,Benzine,2,2,0,Motorfiets
11,1117,Benzine,5,4,4,Personenauto
10,12970,Diesel,44,4,2,Bus
0,1164,Benzine,5,4,5,Personenauto
26,520,Geen,0,2,0,Aanhangwagen
16,1065,Geen,0,2,0,Aanhangwagen
14,228,Benzine,2,2,0,Motorfiets
8,1293,Benzine,5,4,5,Personenauto
16,940,Geen,0,2,0,Aanhangwagen
35,738,Geen,0,2,0,Aanhangwagen
2,815,Benzine,4,4,4,Personenauto
14,329,Benzine,2,2,0,Motorfiets
10,209,Benzine,2,2,0,Motorfiets
3,261,Benzine,2,2,0,Motorfiets
11,8820,Diesel,43,4,3,Bus
6,230,Benzine,2,2,0,Motorfiets
20,486,Geen,0,2,0,Aanhangwagen
10,187,Benzine,2,2,0,Motorfiets
7,205,Benzine,2,2,0,Motorfiets
10,300,Geen,0,2,0,Aanhangwagen
